NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_135	MODULE_135		25	-0.43826076	-0.8959708	0.618	0.9215282	0.998	3843	tags=36%, list=19%, signal=44%	
MODULE_210	MODULE_210		28	-0.36506724	-0.8867645	0.5964215	0.9342445	0.998	1844	tags=21%, list=9%, signal=24%	
MODULE_24	MODULE_24		451	-0.32552603	-0.8828592	0.62729126	0.9347403	0.998	5068	tags=42%, list=25%, signal=55%	
MODULE_432	MODULE_432		15	-0.39596233	-0.88007903	0.5947047	0.93357223	0.998	6505	tags=53%, list=32%, signal=78%	
MODULE_44	MODULE_44		320	-0.40690705	-0.8770621	0.6044625	0.93258	0.998	4132	tags=40%, list=20%, signal=49%	
MODULE_349	MODULE_349		17	-0.33111104	-0.873618	0.6012397	0.9323117	0.998	4881	tags=41%, list=24%, signal=54%	
MODULE_324	MODULE_324		132	-0.35603705	-0.86083823	0.61770624	0.9517983	0.998	2262	tags=26%, list=11%, signal=29%	
MODULE_70	MODULE_70		43	-0.2792672	-0.85777104	0.65957445	0.9501501	0.998	5936	tags=42%, list=29%, signal=59%	
MODULE_334	MODULE_334		166	-0.24295963	-0.85055584	0.7022587	0.95814323	0.998	1620	tags=16%, list=8%, signal=17%	
MODULE_322	MODULE_322		57	-0.22699794	-0.848531	0.6606786	0.9548909	0.998	3900	tags=26%, list=19%, signal=32%	
MODULE_92	MODULE_92		147	-0.32067078	-0.8405919	0.6753507	0.96288294	0.998	2619	tags=25%, list=13%, signal=29%	
MODULE_223	MODULE_223		138	-0.3609045	-0.83089656	0.6546185	0.97480017	0.998	2561	tags=28%, list=13%, signal=31%	
MODULE_6	MODULE_6		411	-0.3204722	-0.82937855	0.6474227	0.97080594	0.998	4132	tags=35%, list=20%, signal=43%	
MODULE_200	MODULE_200		27	-0.3471492	-0.8285473	0.68379444	0.9653043	0.998	1122	tags=19%, list=6%, signal=20%	
MODULE_38	MODULE_38		462	-0.2845663	-0.82541734	0.6511156	0.96455884	0.998	4114	tags=29%, list=20%, signal=36%	
MODULE_321	MODULE_321		112	-0.32135153	-0.81429935	0.66797644	0.9804599	0.998	3870	tags=31%, list=19%, signal=38%	
MODULE_72	MODULE_72		306	-0.23110217	-0.81321007	0.7237113	0.97580236	0.998	3429	tags=23%, list=17%, signal=27%	
MODULE_273	MODULE_273		51	-0.2736412	-0.80873615	0.6828794	0.97699094	0.999	4461	tags=27%, list=22%, signal=35%	
MODULE_447	MODULE_447		38	-0.29184267	-0.8079653	0.6740891	0.9715482	0.999	3067	tags=26%, list=15%, signal=31%	
MODULE_5	MODULE_5		430	-0.35860515	-0.80044407	0.68172485	0.97926414	0.999	4132	tags=37%, list=20%, signal=45%	
MODULE_107	MODULE_107		77	-0.36017504	-0.79611355	0.6916836	0.98128587	0.999	1885	tags=21%, list=9%, signal=23%	
MODULE_196	MODULE_196		23	-0.34131435	-0.79347396	0.75	0.9795406	0.999	767	tags=26%, list=4%, signal=27%	
MODULE_172	MODULE_172		94	-0.34792972	-0.7927586	0.7131313	0.97419494	0.999	2501	tags=22%, list=12%, signal=25%	
MODULE_480	MODULE_480		97	-0.22160918	-0.79019445	0.7535642	0.9724881	1.0	1219	tags=11%, list=6%, signal=12%	
MODULE_192	MODULE_192		112	-0.22812884	-0.7871875	0.761079	0.971445	1.0	2212	tags=18%, list=11%, signal=20%	
MODULE_545	MODULE_545		20	-0.3460738	-0.7839049	0.7369478	0.970893	1.0	3694	tags=30%, list=18%, signal=37%	
MODULE_456	MODULE_456		110	-0.30412602	-0.7809988	0.7285156	0.96923804	1.0	3327	tags=27%, list=16%, signal=32%	
MODULE_213	MODULE_213		80	-0.27946782	-0.7801305	0.73006135	0.96428305	1.0	4903	tags=35%, list=24%, signal=46%	
MODULE_123	MODULE_123		245	-0.2237231	-0.77865	0.74949086	0.96051764	1.0	4304	tags=26%, list=21%, signal=32%	
