"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"201","PAPTIP",7.975296,4.875808,6.448526,7.625361,8.482749,8.601373,9.394911,8.850943,9.290727,5.222592,4.857843,4.076922,7.91998,8.68306,6.848273,"EFS_L5"
"202","PAPTLD",8.533745,5.18175,6.727225,8.126327,8.282928,8.376492,7.896464,8.555784,9.124487,4.390931,6.085651,3.831689,7.163724,8.532054,6.986259,"EFS_L5"
"203","PAPTLY",7.595956,4.960231,6.406805,7.446983,8.282055,7.740513,8.890469,8.283969,9.117364,5.147664,5.226036,4.093837,7.737768,7.702115,6.636008,"EFS_G5"
"204","PAPTMM",6.288998,4.695555,5.870376,7.281009,8.531584,9.727059,9.154654,9.516889,9.454323,4.860446,6.150762,4.075298,8.077722,7.490546,7.692162,"EFS_G5"
"205","PAPUAR",8.054486,7.452594,6.872934,7.217027,8.452306,8.039067,9.087018,8.784657,9.599548,4.800561,5.92374,4.27764,8.499885,8.629688,6.914728,"EFS_G5"
"206","PAPUEB",7.561701,7.121242,6.712144,7.064708,8.172248,7.177167,9.416255,8.72565,9.364047,5.111819,4.908714,4.652636,8.386994,8.972384,7.026582,"EFS_G5"
"207","PAPUNH",7.587899,4.920174,6.491402,7.349596,8.077179,8.017426,9.222635,8.858454,9.32021,4.101925,4.866368,3.813305,8.245,8.499157,6.814882,"EFS_G5"
"208","PAPUTN",7.883783,5.945988,6.124397,6.785101,8.203463,7.328583,8.827407,8.580062,8.757006,4.879289,4.698664,4.086297,7.460406,8.362927,6.984475,"EFS_L5"
"209","PAPWUC",6.90052,6.155767,5.973716,6.469594,8.056162,7.895501,9.224736,9.593147,7.676968,6.423512,5.507322,6.793048,8.183078,7.665686,7.672532,"EFS_G5"
"210","PAPZYP",7.422343,8.332425,6.159887,7.166468,8.189534,6.897212,9.139069,8.749227,8.929658,5.53388,4.764106,4.846425,7.905441,8.980008,7.060666,"EFS_G5"
"211","PARABN",7.795715,4.99964,6.510696,7.866364,8.556013,5.912729,8.571013,8.37872,8.658307,4.122568,4.887608,4.030052,7.013451,7.641953,6.665455,"EFS_L5"
"212","PARACM",8.179883,6.025831,7.653262,7.212494,8.189307,7.020979,9.146629,9.055569,9.344671,5.973884,5.750179,5.864156,8.236334,9.255079,7.375686,"EFS_G5"
"213","PARAHE",8.759159,4.644448,6.067632,7.544808,8.850677,9.419259,8.687169,9.587604,10.000157,5.947273,5.215219,5.401138,8.756245,8.283633,7.435666,"EFS_L5"
"214","PARCWT",8.332954,4.490368,6.59338,7.092643,8.83655,9.561833,9.118124,9.738617,10.036296,5.768544,5.731024,6.042744,8.199914,8.31337,7.01017,"EFS_L5"
