"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"100","PAKANZ",5.155323,8.104443,8.818299,8.545503,6.997482,7.066852,7.936645,8.833142,7.849712,8.402798,8.125018,6.797736,6.629659,8.936336,8.09675,6.676758,11.578994,"EFS_L5"
"101","PAKDHL",4.512069,8.372859,9.175151,9.285701,7.187945,7.314673,7.903067,8.872498,6.997517,8.317434,7.72888,7.929153,6.785189,8.690272,9.962836,9.355243,11.389703,"EFS_L5"
"102","PAKGCI",7.045082,9.266547,8.974544,8.748727,8.895612,7.278168,8.469362,9.238032,7.195746,8.662242,8.026095,9.653801,7.34003,9.953679,9.095404,9.276741,12.046727,"EFS_G5"
"103","PAKGKH",6.139447,9.004147,8.279037,8.558459,6.09175,6.792482,8.222866,9.311922,7.166867,7.769238,8.462337,9.361113,7.154251,9.26457,9.612615,10.214977,12.464224,"EFS_L5"
"104","PAKGMY",5.631276,8.783815,7.742939,8.101545,7.360597,5.95969,7.127092,7.883623,6.37211,7.406732,8.110778,6.815053,6.56284,7.662388,8.320442,7.711748,11.430988,"EFS_L5"
"105","PAKHAV",7.654205,9.479085,8.909977,8.806979,8.313818,7.432888,8.415815,9.268628,6.986404,7.664312,8.15531,9.26688,7.661694,9.180549,8.823032,9.863181,12.529325,"EFS_L5"
"106","PAKINP",6.131468,8.995845,9.134528,8.660253,9.450415,7.098347,8.604763,8.973527,7.910505,8.619631,8.678058,9.986207,7.198838,9.52801,8.844062,9.749495,12.069431,"EFS_G5"
"107","PAKJBA",5.232164,8.223237,8.883642,9.598385,8.97642,7.543899,8.905179,9.516435,7.380293,8.486399,8.242089,7.166376,7.155881,9.277934,9.021233,9.462034,12.184813,"EFS_G5"
"108","PAKSWB",6.529488,8.948395,9.014768,9.207107,8.991889,7.424986,8.404388,9.06965,7.37153,8.475605,8.414026,9.114039,7.059697,9.502184,9.782823,9.159367,12.124656,"EFS_G5"
"109","PAKUXT",5.178183,8.790458,9.036704,8.791477,6.304164,6.859385,8.278763,9.389166,7.508689,8.272473,8.778251,9.739835,6.960556,9.817123,9.85508,10.317421,11.972857,"EFS_L5"
"110","PAKWCJ",7.287085,8.703338,8.564787,8.516494,7.631873,6.659168,8.097648,8.724014,7.158309,8.17992,8.25993,9.366019,7.10249,9.458015,8.752174,9.241528,11.769998,"EFS_G5"
"111","PAKXDZ",5.924012,8.862218,8.281436,8.438729,7.046512,6.44735,7.55178,8.349815,6.869453,7.735099,8.829026,6.678692,6.420217,8.010369,8.602005,8.532171,11.663973,"EFS_L5"
"112","PAKYZS",8.233326,9.032926,8.457781,7.804524,7.70791,6.554088,7.651352,9.06465,6.858026,7.813061,8.250152,8.809965,6.986832,9.092322,8.23696,9.982263,11.768925,"EFS_L5"
"113","PALAWZ",5.999148,8.894911,8.971991,7.653166,6.912053,7.293851,7.983116,9.00589,6.71935,8.696149,8.054457,7.798573,6.863212,8.552663,8.883921,9.224872,11.942947,"EFS_L5"
"114","PALBFV",4.842201,8.420963,8.419129,8.887406,7.444874,6.93765,7.746754,8.652461,6.822837,8.652759,8.464156,6.382101,6.310851,8.040732,7.969918,7.354438,11.55431,"EFS_L5"
"115","PALBFW",6.882994,8.835839,8.951401,8.71462,7.546434,7.013357,8.267804,9.224384,7.327044,8.552709,8.71383,9.109634,6.918291,9.867669,8.856845,9.330306,11.868081,"EFS_L5"
"116","PALEAC",7.213007,8.723323,8.957015,9.062866,8.715286,7.44365,8.658106,9.087593,7.224785,8.515251,8.243778,9.420445,7.014477,9.381155,9.041393,9.177714,12.14348,"EFS_G5"
"117","PALEBK",7.896183,8.826642,8.75249,8.835959,7.867711,7.162548,8.355013,9.441745,7.541185,8.820109,8.350302,9.84033,7.291601,9.852614,9.629175,9.241329,11.850871,"EFS_G5"
"118","PALETP",4.809166,8.518875,8.993392,9.369931,5.960665,6.925892,7.98878,8.724346,7.255102,8.243854,8.949898,9.205647,7.15662,7.452319,8.413077,9.720634,11.956238,"EFS_L5"
